species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Nomascus concolor,black crested gibbon,"['tropical evergreen forest', 'semi-evergreen forest', 'deciduous forest', 'subtropical forest', 'mountainous areas']",specialist,"['China', 'Laos', 'Vietnam']",False,"fruits, flowers, leaves, buds, fungi, insects, bird eggs and young, small mammals",herbivore/omnivore,48.5,8.45,low,critically endangered,decreasing,"['habitat loss', 'competition with gray langurs', 'habitat fragmentation']","The black crested gibbon is a critically endangered arboreal primate found in China, Laos, and Vietnam. It lives in small family groups, exhibits sexual dichromatism, and has a diet mainly of fruits and plant material with occasional animal prey. It inhabits high altitude forests and faces threats from habitat loss and competition with gray langurs. Conservation efforts include ecological corridors to connect fragmented populations."
Nomascus siki,southern white-cheeked gibbon,"['lowland broadleaf forest', 'forested mountainous areas']",specialist,"['Vietnam', 'Laos']",False,frugivorous,primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat loss due to logging and farming', 'hunting for food', 'hunting for traditional medicine', 'pet trade']",Species shows sexual dimorphism in coloration; males have distinctive white facial markings. Distribution overlaps with Nomascus leucogenys in northern range. Population declined by 50% over last 45 years. Legally protected in Vietnam but enforcement is weak outside protected areas.
Nomascus gabriellae,yellow-cheeked gibbon,['primary tropical forest'],specialist,"['Vietnam', 'Laos', 'Cambodia']",False,fruits,herbivore,92.58718085106382,1371.0242088757395,unknown,unknown,stable,"['humans', 'leopards', 'clouded leopards', 'pythons']",Diurnal and arboreal; uses brachiation for movement; males have golden cheeks; females change color with maturity; vocalize loudly for territory and mate attraction; largest population in Cambodia's Keo Seima Wildlife Sanctuary; conservation programs active including rescue and rehabilitation.
Nomascus hainanus,Hainan black-crested gibbon,"['broad-leaved forests', 'semi-deciduous monsoon forests', 'primary forest', 'secondary forest', 'dwarf forest']",specialist,"['Hainan Island, China']",True,"ripe, sugar-rich fruit such as figs, leaves, insects",herbivore/omnivore,92.58718085106382,1371.0242088757395,low,critically endangered,decreasing,"['habitat loss', 'illegal logging', 'poaching', 'habitat fragmentation', 'human population expansion', 'illegal pulp paper plantations', 'economic exploitation', 'natural disasters (storms, epidemics)']","The Hainan black-crested gibbon is the world's rarest primate, endemic to Hainan Island, with a population of about 22 individuals. It has a low reproduction rate with a two-year interbirth interval and is highly threatened by habitat loss, poaching, and human expansion. It is an umbrella species indicating ecosystem health and plays a role in seed dispersal. Conservation efforts exist but are underfunded and poorly coordinated."
Nomascus nasutus,eastern black crested gibbon,['karst forest'],specialist,"['Vietnam', 'China']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['deforestation', 'habitat encroachment', 'poaching']",One of the rarest and most critically endangered primates; rediscovered in 2002 after decades without confirmed sightings; genetically distinct from other crested gibbons; females perform rhythmic dancing displays possibly related to social and sexual access.
Nycticebus coucang,Sunda slow loris,"['evergreen forests', 'rainforests with continuous dense canopies', 'tropical rainforests', 'anthropogenic habitats']",specialist,"['Indonesia', 'West Malaysia', 'southern Thailand', 'Singapore']",False,"phloem sap, floral nectar, fruit, arthropods, gums, molluscs, birds' eggs",primary consumer,32.5,0.642,low,endangered,decreasing,"['exotic pet trade', 'habitat loss', 'illegal traditional medicine gathering', 'killed as crop pest', 'high mortality in captivity', 'habitat fragmentation']",Nocturnal and arboreal primate with extremely low metabolic rate; monogamous mating system; single offspring after ~192 days gestation; threatened by pet trade with teeth removal causing high mortality; protected by law but enforcement weak; suffers from severe habitat loss and fragmentation.
Callicebus coimbrai,Coimbra Filho's titi monkey,"['densely wooded areas', 'dense understory', 'lower canopy', 'damaged or fragmented forests', 'young or second growth forests']",specialist,"['Bahia, Brazil', 'Sergipe, Brazil']",True,"folivore-frugivore (mostly leaves, also fruits)",primary consumer,92.58718085106382,1371.0242088757395,low,endangered,decreasing,"['habitat loss', 'habitat fragmentation', 'limited reproductive options', 'increased predation', 'human interference', 'logging', 'land conversion to pasture', 'road development', 'tourism']",Endemic to a small area in northeastern Brazil; lives in small groups with breeding pairs and offspring; exhibits territorial and defensive behavior; population estimated between 500 and 1000 individuals; tolerant to disturbed and fragmented habitats but threatened by habitat loss and fragmentation limiting reproductive options and increasing predation risk.
Plecturocebus modestus,Rio Beni titi monkey,[],unknown,['Bolivia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],Species of titi monkey endemic to Bolivia.
Plecturocebus oenanthe,Rio Mayo titi monkey,"['dry woodland areas', 'bamboo stands', 'low forests with trees']",specialist,"['Peru', 'northern part of the Department of San Martin', 'Alto Mayo valley', 'Bajo Mayo', 'Huallaga Central', 'foothills of the Andes']",True,"leaves, seeds, fruits, arthropods (insects)",primary and secondary consumer,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['habitat loss', 'deforestation', 'restricted living space', 'overpopulation in degraded habitats', 'forest destruction for agriculture', 'parasite infection (Atriotaenia megastoma)']","The Rio Mayo titi monkey is a small New World monkey endemic to Peru, living in dry woodland and low forest habitats. It is critically endangered due to major habitat loss and restricted living space caused by deforestation and agricultural expansion. The species has a diet mainly of fruits and insects, with a high success rate in insect hunting. It is affected by parasitic infection from Atriotaenia megastoma. Conservation efforts focus on habitat protection, population density monitoring, and creating protected areas and corridors."
Plecturocebus olallae,Olalla brothers's titi monkey,[],unknown,['Bolivia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],There are between 110 and 150 individuals in the wild.
Xenothrix mcgregori,Jamaican monkey,"['Jamaica', 'cave sites']",specialist,['Jamaica'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,[],"Xenothrix mcgregori is an extinct New World monkey endemic to Jamaica, discovered in cave deposits. It had a unique dental formula (2.1.3.2) differing from most platyrrhines, and phylogenetic analyses link it closely to titi monkeys (Callicebus and Cheracebus). It was a slow climber with postcranial features distinct from modern primates. DNA evidence suggests it colonized Jamaica about 11 million years ago, separate from other Greater Antillean monkeys."
Tarsius pelengensis,Peleng tarsier,"['primary forest', 'secondary forest', 'non-primary habitat']",generalist,"['Peleng Island, Indonesia', 'possibly other smaller islands of the Banggai Archipelago']",True,"carnivorous, feeding on insects, spiders, other small arthropods, and small vertebrates",secondary consumer,12.5,0.1,unknown,unknown,decreasing,"['illegal logging', 'forest clearance']","Nocturnal primate endemic to Peleng Island; adapted for climbing and leaping; social, living in family groups; can turn head nearly 180 degrees; communicates with duetting calls similar to closely related species."
Cebus brunneus,brown weeper capuchin,"['dry semi-deciduous forests', 'gallery forests', 'various types of forest in the Cordillera de la Costa']",specialist,"['Venezuela', 'Trinidad']",False,unknown,unknown,42.0,2.2960000000000003,unknown,data deficient (implied from taxonomic uncertainty and iucn history),unknown,[],"The brown weeper capuchin is a gracile capuchin monkey with brown thick fur, endemic to Venezuela and possibly Trinidad. It shows tool use behavior by modifying leaves to drink water. Taxonomic status has been debated with recent mitochondrial DNA studies recognizing it as a separate species."
Presbytis sumatrana,black Sumatran langur,['forest'],specialist,"['Sumatra, Indonesia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['deforestation', 'pet trade']",Formerly considered a subspecies of Presbytis melalophos; genetic analysis revealed it as a separate species.
Presbytis siberu,Siberut langur,"['island of Siberut, Indonesia']",specialist,"['Siberut Island, Indonesia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,[],Formerly considered a subspecies of Presbytis potenziani; genetic analysis confirmed separate species; native and endemic to Siberut Island; listed as endangered by IUCN.
Presbytis sabana,Sabah grizzled langur,['arboreal'],specialist,"['Sabah, Malaysia', 'Borneo', 'Indonesia']",False,"leaves, fruit, seeds, flowers, insects, bark, mineral-rich mud",herbivore/omnivore,52.0,6.0,unknown,endangered,decreasing,"['habitat loss', 'habitat fragmentation', 'hunting']",Arboreal and diurnal primate living in groups of about seven with a single adult male; males not in groups are solitary; sometimes associates with maroon langur.
Trachypithecus leucocephalus,white-headed langur,['karst hills'],specialist,"['Guangxi, China']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['poaching', 'habitat destruction', ""hybridization with François' langur"", 'habitat fragmentation', 'anthropogenic land modification']","Population estimated at no more than 600 individuals with roughly 250 mature individuals; none of the subpopulations has more than 25 individuals; very low genetic diversity; threatened by poaching, habitat destruction, and genetic introgression from released François' langurs."
Hylobates funereus,eastern grey gibbon,['tropical forest'],specialist,"['northeastern Borneo', 'Kalimantan', 'Sarawak', 'Brunei', 'Sabah', 'East Kalimantan']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['deforestation', 'forest fires', 'illegal hunting', 'capture for pet trade']","The eastern grey gibbon is a primate endemic to northeastern Borneo, threatened by habitat loss due to deforestation and forest fires, as well as illegal hunting and capture for the pet trade. It can hybridize with related grey gibbon species where ranges overlap."
Hylobates abbotti,western grey gibbon,['tropical forest'],specialist,"['Borneo', 'Kalimantan', 'Sarawak']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['deforestation', 'forest fires', 'illegal hunting', 'capture for pet trade']","Endemic to western Borneo, threatened by habitat loss and hunting, considered a distinct species separate from other grey gibbons."
